0,29.114411519899999,58.254707003299998
1,29.114435000699999,58.254718998800001
2,29.114537999100001,58.254794001299999
3,29.114980999200000,58.255160999799998
4,29.115315000700001,58.254730999700001
5,29.115695000399999,58.254273000600001
6,29.116021000300002,58.253878999999998
7,29.116074000800001,58.253826000099998
8,29.116338000500001,58.253495999800002
9,29.115614999100000,58.253401001100002
10,29.116897910300001,58.253958127399997
11,29.117457815800002,58.254420257200003
12,29.118017721899999,58.254882395000003
13,29.118654722900001,58.255194681299997
14,29.119291722900002,58.255506971499997
15,29.119928724499999,58.255819268700002
16,29.120565722700000,58.256131566900002
17,29.121202719999999,58.256443869100003
18,29.121281266499999,58.256470656200001
19,29.121211264300001,58.256742416400002
20,29.121013999700001,58.257565000800000
21,29.120705000000001,58.257633999299998
22,29.120914704099999,58.257993310899998
23,29.120815404599998,58.258421620100002
24,29.120716106300002,58.258849925500002
25,29.120563676200000,58.259520277699998
26,29.120168403400001,58.258971333100000
27,29.119810238600000,58.258971050100001
28,29.119291155799999,58.259146918299997
29,29.120510587300000,58.259884556700001
30,29.120427289500000,58.260205203300004
31,29.120268791099999,58.260815317800002
32,29.120147889300000,58.261280696599997
33,29.120026988500001,58.261746074300000
34,29.119906083600000,58.262211450800002
35,29.119785177099999,58.262676826200000
36,29.119627100799999,58.263235061099998
37,29.119469022200001,58.263793297200003
38,29.119298999900000,58.264347999899996
39,29.119359732900001,58.264494884000001
40,29.119310676000001,58.264759413199997
41,29.119280992000000,58.264792496399998
42,29.119182688999999,58.265191960899998
43,29.118988083300000,58.265981069299997
44,29.118803533700000,58.266729815900000
45,29.120821998299999,58.260083053999999
46,29.120909305600001,58.260320696400001
47,29.120867650200001,58.260560845699999
48,29.121155782599999,58.260962058099999
49,29.121443913699999,58.261363269900002
50,29.121700938400000,58.261200529699998
51,29.121957960400000,58.261037785900001
